#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
0.060063,0.011365,0.328400,0.000000,0.000000,0.400735
0.050272,0.021046,0.561668,0.001996,0.001996,0.637031
0.391945,0.029964,0.792814,0.058617,0.058617,4.216986
68.090300,0.037916,1.339639,0.129805,0.129805,73.229814
63.189847,0.036132,2.899029,0.237275,0.237275,73.504950
70.562025,0.018172,2.460853,0.447526,0.447526,79.921971
74.115761,0.014945,2.780483,0.328909,0.328909,84.053535
63.223149,0.014910,3.351617,0.596199,0.596199,75.746251
68.071003,0.020297,4.312615,0.669210,0.669210,84.722088
60.898242,0.034308,2.704780,0.619966,0.619966,73.635118
58.791112,0.011048,2.311960,0.438279,0.438279,68.662480
60.306115,0.016287,2.782925,0.560182,0.560182,72.004360
55.686754,0.013384,3.420636,0.768897,0.768897,68.296696
55.348428,0.013382,3.285756,0.927086,0.927086,73.405282
58.375605,0.019621,3.463552,0.805958,0.805958,74.384804
64.186850,0.013395,3.222812,0.652544,0.652544,77.528471
66.821912,0.022000,3.494036,0.803795,0.803795,81.163694
63.750622,0.011213,3.610756,0.662531,0.662531,79.208101
68.871737,0.014032,4.532893,0.795124,0.795124,85.737669
68.793127,0.015595,5.451426,0.973738,0.973738,91.399354
90.669688,0.017027,5.988291,0.964083,0.964083,112.901528
96.721788,0.014619,7.340035,1.428961,1.428961,123.327736
112.401894,0.018312,7.023887,4.096077,4.096077,149.031926
120.023630,0.017316,6.916249,1.400874,1.400874,148.533774
99.604477,0.020749,11.445763,1.792682,1.792682,144.976302
110.242283,0.014563,7.789817,2.576420,2.576420,143.417822
117.949111,0.015832,12.498356,2.368225,2.368225,164.574109
87.103171,0.007533,8.422645,1.507915,1.507915,115.095638
126.522214,0.011327,12.787956,1.421302,1.421302,166.213043
85.506498,0.011426,8.354431,1.748066,1.748066,115.337844
97.443749,0.019652,7.595169,1.816558,1.816558,130.008304
115.819884,0.012187,7.705027,1.493594,1.493594,145.529935
93.736552,0.010067,9.417934,1.792250,1.792250,127.530281
102.345933,0.018792,9.513505,1.813710,1.813710,136.346615
95.223515,0.016264,9.338433,1.675536,1.675536,135.966660
93.183791,0.017093,10.349570,2.026209,2.026209,133.709985
96.927024,0.022684,11.375879,2.105994,2.105994,140.221865
109.845105,0.025209,11.575353,1.994322,1.994322,163.103576
107.855270,0.034224,12.759470,2.840835,2.840835,161.207358
95.429747,0.038571,12.973320,2.473737,2.473737,146.677852
93.188504,0.028319,12.325129,2.389879,2.389879,143.408567
94.010222,0.026511,14.163126,2.496505,2.496505,149.493770
93.099959,0.019258,14.237145,2.535281,2.535281,153.384338
92.962142,0.025035,12.833816,2.614365,2.614365,144.992966
90.830324,0.017421,11.841438,2.528954,2.528954,147.607160
85.998967,0.017055,11.359595,2.538241,2.538241,139.565559
114.810339,0.022144,16.995907,2.599648,2.599648,167.472309
84.922569,0.017345,9.951662,2.588123,2.588123,137.556910
86.672348,0.010230,9.700318,2.523687,2.523687,132.473783
98.213305,0.010849,9.512061,2.456561,2.456561,142.764401
103.988543,0.006327,8.954350,2.450999,2.450999,141.570640
127.205833,0.009610,9.255953,2.317426,2.317426,168.536556
97.330527,0.011402,11.189052,2.551080,2.551080,143.329982
96.551376,0.014754,11.915914,3.089209,3.089209,155.686919
102.572050,0.020856,11.889481,3.030574,3.030574,155.140739
89.209899,0.023650,13.605050,3.120707,3.120707,147.450124
93.983505,0.017684,11.632473,2.788661,2.788661,139.122176
93.158604,0.020302,14.344312,3.637642,3.637642,149.303319
96.523083,0.015722,13.056421,3.295812,3.295812,142.982628
93.657039,0.015182,12.895047,3.301502,3.301502,140.534174
93.366569,0.009405,12.141861,3.410162,3.410162,139.378607
88.573523,0.007338,10.367926,3.161076,3.161076,137.227505
88.208109,0.007943,10.373734,2.768575,2.768575,135.295683
87.416357,0.013869,11.314138,3.165998,3.165998,134.573833
85.872612,0.015251,11.135962,3.240472,3.240472,150.907610
85.262251,0.016459,9.982647,2.842205,2.842205,132.498878
86.666246,0.021866,9.234899,2.872590,2.872590,130.377312
86.395746,0.009735,9.392368,2.947896,2.947896,133.033000
86.177277,0.008220,9.056582,2.590048,2.590048,129.458895
86.999665,0.006136,8.112131,2.669016,2.669016,135.442551
86.852054,0.004605,8.433689,2.633319,2.633319,129.316376
89.033046,0.006892,7.235845,2.608488,2.608488,129.741074
81.214466,0.004679,6.849947,2.676456,2.676456,114.596615
77.992070,0.003069,5.591477,2.540518,2.540518,114.812784
81.503189,0.001298,5.501481,2.533542,2.533542,110.613184
75.376316,0.003932,5.568031,2.432809,2.432809,105.525245
80.039180,0.007639,5.433130,2.436599,2.436599,109.307326
79.149397,0.017310,5.727554,2.435558,2.435558,107.009581
79.547673,0.011745,5.802347,2.494053,2.494053,110.345652
83.283496,0.013102,6.552034,2.876347,2.876347,114.620605
97.187845,0.013671,6.617718,2.517472,2.517472,134.044893
84.179354,0.013117,7.208947,2.652009,2.652009,123.707928
88.580348,0.007478,6.787159,2.656217,2.656217,123.818896
87.594557,0.007967,6.660752,5.004319,5.004319,125.482265
91.254922,0.009892,7.271609,2.606409,2.606409,126.887921
91.250867,0.007850,8.025847,4.878178,4.878178,132.773374
98.989495,0.015161,9.256231,2.562242,2.562242,141.650723
101.636360,0.015721,10.203571,3.025642,3.025642,144.979553
108.506944,0.024404,13.506509,3.291732,3.291732,164.587336
106.337681,0.022439,11.934958,3.210407,3.210407,154.211044
105.466734,0.011058,12.396090,3.293122,3.293122,155.129174
105.100076,0.011729,12.106307,3.367269,3.367269,155.310795
106.904226,0.013819,12.794377,3.604284,3.604284,162.209367
107.684307,0.019360,12.204070,3.109480,3.109480,163.407687
108.724157,0.014132,13.456154,3.384368,3.384368,169.830904
108.471932,0.014672,13.628349,3.551761,3.551761,171.072397
122.515245,0.021678,13.293210,3.611798,3.611798,183.612127
107.371543,0.015657,11.741520,3.364078,3.364078,156.315802
104.648060,0.017044,12.574308,3.724933,3.724933,168.228927
103.015258,0.019905,12.069294,3.960016,3.960016,153.123417
93.534998,0.015672,11.410184,3.494993,3.494993,146.725913
94.747233,0.018425,12.108016,4.053845,4.053845,149.099632
96.860707,0.013391,11.185947,3.786411,3.786411,146.444192
93.689099,0.013967,11.945706,4.263805,4.263805,144.371040
91.748186,0.008285,11.607729,4.148832,4.148832,142.924790
91.788985,0.007992,11.035476,4.147124,4.147124,141.658404
90.080032,0.006687,13.672237,4.157074,4.157074,145.387696
93.247190,0.007348,10.453465,4.028508,4.028508,136.495108
85.856948,0.002654,9.977868,4.061572,4.061572,137.575051
95.732291,0.008426,11.419931,6.428064,6.428064,164.846538
110.863775,0.005353,10.198074,3.207410,3.207410,164.220890
93.050764,0.005070,11.547667,3.531923,3.531923,146.024149
93.175861,0.009884,11.271996,3.924801,3.924801,151.240346
86.508325,0.014658,11.046507,3.955871,3.955871,142.186734
88.051343,0.009099,10.374790,3.699099,3.699099,135.942027
87.756619,0.014044,11.271679,3.354437,3.354437,143.520765
87.316986,0.014400,10.896391,3.361002,3.361002,135.550912
82.748669,0.012452,9.802896,3.429358,3.429358,126.407555
78.756038,0.017492,8.698938,3.099097,3.099097,117.347290
73.895540,0.013410,8.450215,3.653316,3.653316,114.165459
78.710354,0.009823,8.584083,3.164954,3.164954,114.901723
77.906084,0.005259,9.110877,3.735310,3.735310,116.675158
76.139554,0.007703,9.460242,4.044550,4.044550,113.518171
73.786323,0.011990,9.397542,3.502808,3.502808,113.588867
75.582486,0.008339,10.608119,4.339564,4.339564,119.404912
74.465566,0.014053,10.837998,4.057888,4.057888,118.658600
73.142681,0.018220,10.907760,4.139178,4.139178,121.988573
68.556657,0.018144,9.055872,3.969015,3.969015,114.939464
71.387006,0.019758,9.548954,4.184024,4.184024,117.309641
68.365122,0.016173,7.998642,4.388047,4.388047,106.489915
65.962649,0.015109,6.824242,4.030973,4.030973,103.500778
59.661569,0.013182,7.488266,4.479190,4.479190,100.882533
60.789203,0.008165,7.217631,6.933114,6.933114,102.095675
57.179155,0.009303,7.709802,4.685088,4.685088,101.311809
78.607499,0.017878,8.385911,4.702243,4.702243,126.759490
70.282671,0.016577,8.092147,4.519631,4.519631,111.907699
63.304668,0.018095,9.464462,4.895518,4.895518,110.677334
57.481626,0.020752,8.986638,4.973374,4.973374,97.759530
57.158541,0.018466,8.163814,5.023987,5.023987,96.239967
59.766589,0.013289,7.986839,5.010274,5.010274,96.205174
59.348285,0.011554,8.195437,5.095189,5.095189,96.040572
60.285096,0.006440,7.948519,4.865091,4.865091,96.936486
58.917429,0.005941,7.907745,4.750251,4.750251,101.576268
59.991857,0.004506,7.850986,4.712823,4.712823,98.039033
55.736599,0.005132,6.707965,4.518183,4.518183,93.224300
57.985967,0.006662,6.922498,3.769740,3.769740,95.904470
57.521236,0.004308,6.837233,3.429114,3.429114,90.821493
54.374345,0.005269,6.644456,4.856441,4.856441,90.455494
64.869346,0.003041,6.069656,3.011108,3.011108,92.386366
63.502933,0.008119,7.407183,3.184780,3.184780,94.436409
63.592429,0.010410,6.725656,5.116223,5.116223,98.559145
61.999169,0.008505,6.562986,4.904479,4.904479,95.747597
63.892432,0.004468,6.502624,4.758646,4.758646,90.735695
61.214902,0.003524,7.128939,4.791473,4.791473,100.148976
64.559192,0.009867,7.399179,5.207045,5.207045,102.229743
63.985045,0.011608,7.051063,5.184195,5.184195,102.132401
64.864100,0.009383,6.719908,3.648389,3.648389,98.153104
64.344864,0.007541,6.779746,3.584602,3.584602,97.982377
65.497898,0.010449,9.710598,3.962063,3.962063,97.198920
77.252275,0.005533,6.427817,3.325149,3.325149,107.620340
73.901584,0.005083,6.634844,5.570913,5.570913,105.020606
71.863541,0.006193,5.949191,5.880493,5.880493,105.477714
71.273066,0.003137,6.199400,3.120865,3.120865,100.303419
79.638221,0.003675,6.838133,3.590061,3.590061,111.857304
76.034569,0.003114,6.834890,3.892060,3.892060,106.061864
76.272799,0.004044,6.719562,3.027794,3.027794,106.800092
76.616699,0.010080,7.858856,5.987989,5.987989,120.370657
77.209212,0.014949,8.658729,6.691908,6.691908,115.797704
76.574177,0.016519,9.679411,5.733328,5.733328,113.416383
77.074476,0.018884,9.172524,6.534293,6.534293,113.341785
82.172608,0.017549,8.703412,5.850307,5.850307,117.716392
92.610654,0.015890,16.980553,7.660658,7.660658,181.764818
106.428725,0.027229,18.479438,7.270468,7.270468,196.862054
94.684432,0.024564,14.868288,5.589996,5.589996,164.945135
90.845157,0.027219,15.528125,5.835213,5.835213,152.553570
98.432012,0.024341,16.559990,5.732436,5.732436,160.697539
160.806282,0.029107,18.011710,6.114103,6.114103,209.979014
109.609337,0.016257,15.652541,6.790784,6.790784,174.713135
141.777446,0.031638,15.100453,6.970495,6.970495,205.392791
105.889628,0.069437,14.670897,6.476035,6.476035,155.096745
96.945208,0.035699,10.750796,7.130203,7.130203,148.736448
89.190559,0.034658,10.291446,6.293885,6.293885,131.840009
93.696219,0.037445,11.631777,6.093768,6.093768,144.783674
88.681253,0.030143,10.235799,5.590980,5.590980,133.340181
95.767372,0.025276,10.862433,6.153743,6.153743,140.741065
92.754574,0.029275,11.441760,6.580617,6.580617,144.025364
96.837209,0.021214,12.794023,9.271534,9.271534,154.812914
95.183207,0.030201,14.724660,5.945019,5.945019,147.193327
99.754176,0.026084,14.462254,5.812188,5.812188,154.363655
99.189179,0.032089,15.851264,6.492282,6.492282,155.823065
98.957265,0.020168,12.336464,6.481361,6.481361,150.275974
90.028906,0.015348,15.176800,6.769187,6.769187,139.816622
95.400326,0.011004,12.597317,10.060957,10.060957,167.321758
115.523912,0.092630,14.515486,6.368432,6.368432,166.115823
104.261258,0.010764,16.542391,6.637220,6.637220,158.477016
104.601317,0.010895,13.343869,6.161580,6.161580,154.851501
97.970306,0.012295,11.918570,6.305042,6.305042,143.803471
96.762079,0.013017,10.385818,6.460938,6.460938,136.677412
92.303536,0.006399,8.661526,10.171226,10.171226,134.106504
93.825520,0.008453,12.113320,5.801297,5.801297,135.528485
93.640845,0.009188,9.983020,5.196729,5.196729,142.625683
92.995240,0.010571,10.516956,5.952212,5.952212,138.409632
92.018198,0.005253,13.099821,5.568096,5.568096,141.974395
98.892674,0.004480,9.437940,5.545723,5.545723,138.766515
95.119264,0.005017,10.856658,5.319471,5.319471,144.198739
101.211534,0.009088,11.941293,5.893393,5.893393,157.646306
89.802481,0.019231,9.757354,4.905619,4.905619,136.103746
109.241366,0.021002,11.596762,5.545351,5.545351,162.464813
92.875524,0.017386,12.016311,5.274206,5.274206,153.216083
91.333449,0.016813,13.478617,6.956168,6.956168,162.037652
93.634129,0.022140,12.880101,6.225452,6.225452,170.946085
89.393913,0.015417,16.719428,5.364138,5.364138,177.465872
88.866726,0.018630,14.915582,5.963794,5.963794,169.693100
89.372883,0.017884,15.000216,6.409086,6.409086,168.291815
84.822233,0.017139,16.162978,9.579920,9.579920,166.939120
86.261667,0.016264,15.125255,6.717338,6.717338,169.316847
85.177261,0.017355,15.262867,6.591917,6.591917,173.752389
87.164082,0.013692,15.781366,6.227267,6.227267,176.371223
88.304142,0.014667,15.743404,5.840645,5.840645,175.988216
87.739067,0.015924,21.006915,6.810643,6.810643,181.727018
86.418280,0.023450,18.894029,6.177323,6.177323,173.985480
91.990358,0.008753,15.651745,6.604240,6.604240,181.495964
99.678621,0.010866,17.161977,6.193448,6.193448,181.438219
105.563831,0.012468,17.410958,6.367273,6.367273,189.425142
109.627582,0.014800,17.749456,6.848274,6.848274,202.115492
105.822195,0.012283,18.788155,7.435314,7.435314,185.268822
103.864970,0.008486,18.522615,7.341962,7.341962,195.348172
111.538550,0.018146,23.519680,8.000454,8.000454,220.250632
129.227065,0.020421,28.398636,7.333966,7.333966,252.822196
111.154874,0.038023,23.967707,8.476467,8.476467,224.742568
119.805106,0.025985,24.422014,9.242110,9.242110,237.884196
114.840058,0.029436,24.191813,8.173401,8.173401,272.923376
113.639018,0.022560,23.268455,8.653213,8.653213,225.420321
110.412794,0.043517,19.311861,8.887824,8.887824,204.823700
110.408226,0.026832,17.535960,7.742628,7.742628,199.056406
103.727559,0.022224,15.936384,7.040755,7.040755,179.253885
109.816749,0.015262,11.802701,5.702593,5.702593,169.217710
111.288232,0.013180,12.020427,4.468626,4.468626,166.884678
99.511753,0.018056,14.842336,4.396822,4.396822,161.630768
100.113968,0.019693,11.994844,5.262411,5.262411,156.797141
103.362920,0.026714,14.789780,3.776003,3.776003,161.391953
146.058356,0.029191,16.125381,4.684748,4.684748,202.263693
102.023260,0.019642,10.185752,4.184843,4.184843,150.078948
106.459464,0.017330,11.661502,4.731025,4.731025,159.325024
101.281682,0.025441,15.006079,4.673480,4.673480,158.469026
103.714932,0.023107,12.708402,5.377918,5.377918,184.000142
109.162395,0.036120,13.862601,5.071990,5.071990,169.365126
100.344666,0.032280,14.060870,9.214427,9.214427,166.893509
103.977519,0.018219,14.674049,4.991027,4.991027,174.972781
104.286777,0.027673,15.977037,6.975515,6.975515,173.669985
103.168232,0.024464,19.904916,7.047392,7.047392,197.506045
102.266697,0.029031,13.774542,4.417989,4.417989,175.306225
101.038499,0.029789,14.300199,5.451640,5.451640,175.292688
99.798207,0.024577,18.223782,5.549738,5.549738,172.269861
97.140938,0.020717,12.492103,4.843728,4.843728,167.133123
92.972195,0.029187,13.130353,5.774865,5.774865,166.163690
91.912707,0.015408,13.141686,5.007369,5.007369,174.463917
91.780392,0.012223,14.170001,5.560016,5.560016,194.596947
86.513610,0.021417,13.446783,7.037847,7.037847,186.167865
88.060603,0.015400,15.178568,7.119004,7.119004,179.056363
117.523577,0.027402,18.003338,8.922951,8.922951,250.696689
91.449205,0.022243,15.882309,9.943099,9.943099,203.701426
86.910893,0.015202,20.087063,9.449725,9.449725,195.031060
88.358316,0.018131,21.316907,10.447773,10.447773,211.908989
90.040137,0.022385,23.048369,11.280124,11.280124,199.542021
95.803694,0.024569,23.368156,11.836383,11.836383,231.463944
99.570840,0.038644,29.496552,13.009346,13.009346,226.061900
99.762893,0.048234,20.696750,11.584664,11.584664,211.549539
91.421305,0.027709,20.350510,15.470369,15.470369,208.891073
102.719279,0.022766,22.634144,12.508741,12.508741,232.109969
103.695022,0.018424,21.877105,11.368573,11.368573,245.166607
103.435206,0.014898,21.343153,11.449755,11.449755,221.370611
100.914499,0.006359,21.160691,11.593752,11.593752,221.126406
106.268093,0.008951,22.052572,11.078647,11.078647,278.493796
92.932379,0.018830,24.034928,10.803002,10.803002,232.131087
85.101471,0.017256,20.332722,11.295117,11.295117,224.916440
86.312964,0.033927,21.205390,11.512362,11.512362,213.363711
86.145805,0.027463,26.659974,13.926207,13.926207,197.310579
88.974221,0.030103,26.548732,12.261522,12.261522,208.792872
92.586096,0.024281,23.648963,12.217537,12.217537,213.040885
94.823521,0.028007,22.706414,13.029859,13.029859,201.581983
97.524693,0.022851,27.018919,12.557211,12.557211,219.733619
95.908860,0.024917,27.631582,13.886589,13.886589,209.810712
100.664219,0.029708,32.237333,11.655262,11.655262,214.876833
96.136694,0.023732,24.086419,12.753961,12.753961,214.593485
99.864244,0.027739,24.641420,11.083076,11.083076,210.151282
99.221280,0.021981,23.611013,11.556901,11.556901,206.786327
93.193626,0.019906,22.471208,11.449937,11.449937,193.730543
93.671723,0.018203,27.503185,12.358253,12.358253,203.546918
89.205938,0.016882,19.523852,12.087693,12.087693,182.586915
88.050719,0.011715,22.509101,10.393589,10.393589,174.109924
86.306935,0.009948,16.622786,11.523846,11.523846,174.566103
79.126276,0.012472,17.170569,10.842399,10.842399,162.397567
77.848585,0.008026,15.955433,10.926374,10.926374,153.041065
75.960972,0.004639,15.719612,10.245159,10.245159,151.728801
74.824222,0.009874,15.081818,7.527866,7.527866,146.857318
77.194498,0.010466,15.645714,8.145547,8.145547,150.892433
70.275317,0.007125,11.749730,7.434713,7.434713,137.363674
70.429814,0.009201,11.051575,9.042533,9.042533,130.330292
68.055220,0.008900,10.554859,7.266732,7.266732,126.409063
84.593735,0.010404,11.071341,6.416977,6.416977,146.229608
54.606902,0.013667,10.577843,6.931518,6.931518,115.564129
