#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
0.101969,0.014314,1.294191,0.000000,0.000000,1.411595
0.101775,0.033014,1.052208,0.001830,0.001830,1.190851
0.432711,0.046220,3.790198,0.113158,0.113158,41.722396
22.352205,0.146022,6.085256,0.359478,0.359478,96.777881
23.328266,0.117949,7.115284,0.780170,0.780170,119.577257
25.931989,0.112286,10.220242,0.936177,0.936177,126.443139
23.463197,0.106977,9.696582,1.203765,1.203765,135.520328
21.952388,0.107928,10.324139,2.211300,2.211300,148.396841
22.475515,0.068195,9.581529,1.507697,1.507697,155.874795
28.318722,0.059053,24.009228,3.296193,3.296193,214.437579
5.696367,0.065533,7.023363,2.371220,2.371220,155.412554
5.753468,0.040384,7.525363,2.435905,2.435905,144.273101
5.716119,0.059610,7.619959,2.905414,2.905414,159.684688
7.910345,0.023739,7.164233,2.640029,2.640029,161.396729
5.791436,0.014755,8.421502,2.892573,2.892573,161.348200
6.356816,0.018414,9.350842,3.516166,3.516166,140.070996
6.134544,0.016248,11.784604,4.904448,4.904448,178.867530
6.052693,0.011496,12.717307,2.952264,2.952264,181.370564
5.923851,0.019157,8.214627,2.862342,2.862342,137.761819
6.257688,0.033109,8.821889,7.744602,7.744602,128.062242
6.067218,0.022034,8.172313,6.797839,6.797839,123.601032
6.269658,0.029121,9.170228,3.163700,3.163700,157.977427
6.624433,0.022791,10.811344,4.162174,4.162174,144.828424
6.369004,0.027873,9.871257,4.139842,4.139842,173.739773
5.967529,0.069571,11.642301,4.528263,4.528263,184.051403
5.748750,0.058176,14.036673,3.702215,3.702215,214.233161
5.930109,0.029814,8.368271,4.254147,4.254147,178.441349
5.868711,0.013287,8.742819,3.159842,3.159842,177.079604
6.954971,0.037955,10.853713,3.426458,3.426458,164.032002
6.668598,0.021872,10.285277,3.992049,3.992049,141.839194
6.750562,0.028232,10.476466,4.383793,4.383793,203.691630
6.438253,0.027526,9.790998,3.993922,3.993922,167.003882
6.266477,0.035712,10.224207,3.822741,3.822741,146.770088
6.617237,0.039934,11.050873,4.612234,4.612234,161.370658
6.559222,0.045112,10.165400,4.033059,4.033059,148.996239
9.886418,0.053463,13.987338,4.313141,4.313141,161.482856
5.921200,0.020729,13.199497,4.356567,4.356567,201.410903
5.910451,0.021668,8.747968,4.342362,4.342362,194.778617
7.943003,0.022700,9.309756,3.910365,3.910365,189.876708
6.261258,0.016787,9.366177,4.046529,4.046529,206.211211
6.391411,0.019264,13.955461,4.143986,4.143986,194.499784
6.796032,0.019504,12.181815,4.583465,4.583465,186.280732
6.649811,0.012340,11.405777,4.786092,4.786092,200.800797
6.795309,0.031044,11.485581,4.330591,4.330591,211.272560
6.432758,0.023618,10.570301,4.277993,4.277993,145.890331
6.215036,0.017241,10.520777,8.438886,8.438886,159.851631
6.302116,0.017838,10.477795,5.096023,5.096023,167.825296
8.391774,0.051234,11.292528,6.415143,6.415143,168.330529
6.495153,0.028893,11.159802,4.303755,4.303755,160.984923
6.448761,0.025993,11.781353,5.204957,5.204957,172.341581
6.386012,0.030385,10.480965,4.439597,4.439597,181.982020
6.116454,0.031450,10.435671,4.959978,4.959978,188.214397
5.964542,0.035893,9.366171,5.858784,5.858784,167.527815
5.786552,0.017394,12.842620,4.127364,4.127364,182.820750
5.720763,0.018554,9.429270,4.677508,4.677508,173.224863
6.467253,0.018127,11.850636,4.752903,4.752903,161.167623
7.004974,0.036012,18.099775,5.264297,5.264297,177.904476
6.780271,0.026364,13.554013,5.685841,5.685841,193.249361
7.810247,0.051821,13.672099,6.513208,6.513208,196.697473
5.848115,0.029992,10.724788,5.571162,5.571162,186.269128
6.085392,0.019464,11.137933,7.422401,7.422401,180.650307
6.030638,0.008188,11.153673,7.298555,7.298555,169.962864
6.630982,0.017388,17.056063,5.782068,5.782068,205.078922
7.110772,0.027111,15.673068,6.262335,6.262335,202.570935
7.638801,0.044627,16.354343,6.753261,6.753261,206.225981
7.121274,0.033258,18.781409,6.319740,6.319740,191.361755
7.039985,0.029177,14.891223,6.382578,6.382578,268.060314
7.157604,0.033309,16.168056,6.510161,6.510161,248.153318
9.066529,0.037656,14.179613,6.425897,6.425897,216.854712
6.604197,0.026959,16.844040,6.296075,6.296075,220.589230
6.503502,0.024867,13.129304,9.919382,9.919382,245.061935
6.368920,0.021581,13.520779,6.725577,6.725577,221.878795
7.841206,0.031444,13.343274,10.611902,10.611902,230.343002
6.296500,0.025999,18.760290,7.411953,7.411953,234.552906
6.332259,0.022444,13.217926,11.784643,11.784643,254.301585
6.155687,0.021587,13.068384,8.430602,8.430602,213.850448
6.353907,0.021180,13.969068,7.708576,7.708576,202.883179
6.338427,0.028555,21.426501,11.875228,11.875228,285.747581
6.732753,0.027377,22.801805,11.668360,11.668360,318.275920
7.102501,0.025798,14.183018,9.962445,9.962445,247.371749
6.737456,0.023238,13.622281,7.242066,7.242066,253.350125
10.653432,0.039509,20.772145,7.394600,7.394600,320.528309
6.716591,0.026846,14.438470,7.532315,7.532315,260.110753
6.607100,0.031449,15.071895,7.651508,7.651508,221.464057
9.390533,0.046778,17.486933,8.082589,8.082589,236.629037
7.026084,0.037038,20.506654,9.177114,9.177114,237.192065
6.643915,0.036857,14.347160,6.716025,6.716025,205.441989
6.915044,0.038985,15.131284,7.145650,7.145650,212.189311
6.747950,0.031351,14.763114,7.901306,7.901306,221.348382
9.954245,0.031193,20.041765,8.882274,8.882274,240.833203
8.791852,0.110259,21.057567,8.218945,8.218945,225.254777
7.750367,0.050966,21.780207,8.503695,8.503695,218.909616
7.319237,0.033547,16.982179,9.089368,9.089368,276.334050
10.069046,0.043250,17.624244,8.160411,8.160411,218.110068
7.399008,0.024945,21.267017,7.892831,7.892831,226.169223
7.283500,0.030725,19.305108,13.491648,13.491648,228.128880
7.249961,0.037482,16.502580,7.903677,7.903677,209.831353
7.447503,0.031189,17.513229,7.502240,7.502240,208.165648
7.126988,0.038131,15.610329,9.408647,9.408647,241.396929
9.051562,0.039847,14.100431,7.314243,7.314243,222.492597
6.234126,0.025892,13.299004,7.738045,7.738045,208.858859
6.495451,0.023587,13.348429,8.045081,8.045081,332.063586
7.347891,0.029829,12.273876,9.552732,9.552732,265.325263
6.150830,0.025886,12.625358,9.433027,9.433027,206.938988
6.263418,0.018934,11.773485,7.889433,7.889433,186.095125
7.715315,0.014108,12.541763,10.403373,10.403373,295.881571
6.264471,0.008339,10.968893,12.309017,12.309017,171.429066
9.611506,0.003489,10.894125,8.476384,8.476384,172.020646
6.123496,0.005953,12.031948,12.581782,12.581782,194.853673
5.926861,0.011163,14.519281,7.540142,7.540142,181.462100
7.773115,0.012953,11.598624,7.332496,7.332496,221.263408
6.037601,0.015727,12.553188,7.273879,7.273879,213.160900
6.946149,0.016390,15.524699,7.707853,7.707853,212.467950
7.140140,0.018924,15.793307,7.495209,7.495209,217.912164
7.487976,0.018666,16.913220,8.136582,8.136582,308.644218
8.296490,0.034167,18.916063,9.300358,9.300358,297.419115
6.688156,0.023608,19.854622,10.868192,10.868192,298.250266
6.490655,0.020506,14.867934,9.350474,9.350474,283.757950
6.617235,0.022333,14.931641,9.742964,9.742964,292.988849
6.793605,0.018159,19.846195,8.797021,8.797021,243.966382
6.819016,0.017641,15.925142,9.287293,9.287293,284.138240
10.055771,0.018662,22.224544,11.255060,11.255060,335.133144
6.707638,0.015574,16.082708,9.806802,9.806802,294.999079
7.247667,0.026827,15.982630,9.225407,9.225407,318.186471
7.017478,0.026725,15.870892,9.060339,9.060339,318.636707
6.784458,0.024240,15.626784,13.011318,13.011318,302.924179
6.628366,0.015187,12.885958,8.254836,8.254836,291.174400
6.064758,0.011244,16.616462,9.901913,9.901913,271.134425
5.942622,0.023272,11.133752,9.711108,9.711108,254.646858
8.975068,0.025452,15.931601,15.775283,15.775283,321.151558
5.625121,0.025208,9.261954,9.486669,9.486669,223.843641
6.629218,0.023013,9.920291,9.746668,9.746668,249.345630
7.271742,0.024307,8.511879,10.670489,10.670489,182.960046
5.394777,0.013913,9.059495,9.490239,9.490239,243.717909
7.011445,0.020094,10.878663,13.566930,13.566930,240.605129
7.038143,0.023891,10.824330,9.985217,9.985217,231.457848
5.774694,0.020392,11.240905,9.273557,9.273557,261.239956
5.979905,0.018581,11.279103,9.247811,9.247811,252.993636
5.839328,0.021001,11.055737,8.823437,8.823437,250.172335
6.022538,0.020825,12.207276,9.087538,9.087538,229.797421
6.229317,0.022374,12.452208,10.513162,10.513162,238.518293
7.453911,0.025206,11.941191,13.402246,13.402246,301.897352
6.135207,0.022203,16.588380,11.407196,11.407196,267.471879
8.726689,0.027211,13.528558,10.620520,10.620520,269.116496
7.443220,0.020443,14.301276,11.275523,11.275523,264.077117
7.479811,0.027963,14.146677,13.955354,13.955354,268.878853
7.279571,0.033703,14.111894,10.776858,10.776858,279.997701
6.917119,0.032970,14.744129,11.663682,11.663682,288.337759
6.516575,0.024158,13.676201,13.743210,13.743210,291.877253
6.490449,0.021684,13.861159,14.874763,14.874763,314.780328
6.412380,0.019300,13.966438,15.754366,15.754366,300.752986
6.389366,0.017792,13.531541,10.768428,10.768428,272.192596
6.587699,0.030016,14.037127,15.702571,15.702571,328.166062
6.469252,0.021459,13.518850,11.283233,11.283233,265.753361
9.456301,0.049137,14.009071,11.828188,11.828188,317.718312
6.539869,0.025852,12.740779,13.047546,13.047546,344.872431
6.366183,0.021741,12.720067,14.891224,14.891224,282.156127
8.639961,0.023183,13.634744,12.289819,12.289819,306.862975
7.359243,0.026264,12.933583,12.138759,12.138759,326.865443
6.715599,0.025305,13.056203,14.759082,14.759082,305.606747
6.793179,0.027568,16.509382,12.446923,12.446923,333.648179
6.797973,0.028631,13.462699,14.039575,14.039575,275.361689
6.579612,0.023253,16.280640,13.692830,13.692830,331.435563
6.862516,0.027049,13.693876,13.374870,13.374870,333.178059
6.721890,0.026023,17.002058,22.981966,22.981966,368.833294
6.723951,0.034243,12.922579,19.576468,19.576468,291.207353
9.058941,0.036446,13.235524,15.705385,15.705385,440.866115
8.824090,0.030781,14.344388,15.313468,15.313468,291.686717
6.546197,0.026074,16.003084,17.317806,17.317806,343.530143
6.331562,0.024979,11.170440,16.474395,16.474395,301.669383
8.791183,0.034948,11.773227,13.540274,13.540274,198.009320
6.613148,0.023665,15.824296,18.561248,18.561248,378.358782
9.329531,0.029220,13.759061,15.986112,15.986112,194.504482
6.672702,0.021101,11.710976,20.238401,20.238401,186.062717
6.940615,0.015206,13.189187,18.872596,18.872596,309.539336
6.905711,0.024530,12.316510,15.347962,15.347962,316.639939
7.227135,0.026909,17.203585,18.565646,18.565646,403.158144
8.842070,0.039220,12.467212,16.364464,16.364464,179.465451
7.049208,0.024936,17.022312,17.012554,17.012554,276.136980
7.097903,0.029279,12.289821,18.625261,18.625261,194.882112
7.233104,0.032876,15.678165,15.725703,15.725703,194.471196
7.012735,0.023980,12.268996,20.137093,20.137093,202.483990
6.903471,0.022417,12.064005,19.889774,19.889774,184.780957
9.407365,0.027981,12.768514,20.474138,20.474138,212.275119
7.164851,0.032313,13.790655,15.846905,15.846905,208.815048
8.466259,0.036187,12.878911,15.495755,15.495755,264.235474
6.920476,0.023505,11.702701,13.028960,13.028960,207.185256
8.776346,0.041483,10.906012,13.799395,13.799395,158.824819
6.723174,0.021314,10.069559,18.845889,18.845889,169.330462
7.144425,0.020472,11.786966,16.376201,16.376201,170.232533
8.163192,0.026243,11.401281,13.049370,13.049370,190.243430
10.556794,0.040948,14.842998,14.011806,14.011806,165.131968
9.299014,0.032413,11.173689,11.282551,11.282551,182.164008
7.060473,0.023804,12.257720,17.157197,17.157197,208.890411
7.435715,0.047319,12.984274,15.066121,15.066121,219.561815
7.413510,0.034236,16.257737,21.532702,21.532702,438.374491
7.258850,0.032165,14.958029,16.891552,16.891552,403.650724
7.941150,0.027308,10.785653,15.347907,15.347907,376.934108
7.272877,0.024768,11.046538,26.421802,26.421802,396.453718
7.006085,0.022552,13.928074,16.254269,16.254269,382.618859
6.996617,0.032198,13.391376,15.979529,15.979529,474.873059
9.004111,0.043410,13.635025,15.164848,15.164848,372.791822
7.062613,0.026143,12.849412,20.429825,20.429825,432.444121
6.850963,0.028246,13.767775,16.925588,16.925588,550.468674
7.127436,0.034336,13.988050,19.455456,19.455456,456.440034
6.611123,0.030016,12.696805,19.212308,19.212308,418.720516
6.474671,0.030407,13.817942,18.725374,18.725374,467.666447
7.010664,0.031106,24.596110,19.857883,19.857883,560.044012
6.415517,0.024843,13.552183,19.125388,19.125388,405.886553
5.754799,0.030844,6.342831,17.063210,17.063210,124.022322
5.541814,0.027152,5.649584,18.461494,18.461494,117.822485
5.405019,0.020535,5.474052,18.014840,18.014840,104.541918
5.337014,0.018184,5.204910,13.167968,13.167968,101.421033
5.422759,0.016187,5.988555,16.258686,16.258686,105.498838
5.589564,0.015018,6.644081,11.807534,11.807534,135.259006
5.785996,0.017272,6.707322,12.358579,12.358579,102.800206
6.055216,0.032499,6.767985,13.262026,13.262026,115.712470
6.201187,0.026551,7.661808,12.818720,12.818720,127.101779
6.053894,0.027348,7.282700,13.636498,13.636498,135.795738
6.484276,0.029888,12.231797,11.928085,11.928085,129.604611
6.419144,0.025958,7.586385,11.462280,11.462280,145.746534
6.454776,0.026666,7.774974,15.930020,15.930020,129.632719
6.491796,0.021471,8.170561,10.930182,10.930182,134.063520
6.540556,0.030168,12.097704,17.270447,17.270447,156.093712
6.360878,0.026250,7.129787,9.465066,9.465066,134.346786
6.316549,0.023551,6.845039,8.078547,8.078547,133.336232
