#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,107.893374,0.000000,0.000000,24.140248,4.999085,0.645913,122.696004
0.000000,0.000000,26.440308,0.000000,0.000000,4.390005,7.129463,0.034151,127.444033
0.000000,0.000000,17.986664,0.000000,0.000000,6.692535,5.714944,0.118373,51.006583
0.000000,0.000000,17.870745,0.000000,0.000000,8.212336,17.983743,0.061883,31.819867
0.000000,0.000000,17.837148,0.000000,0.000000,8.999625,10.157477,0.131596,31.762304
0.000000,0.000000,23.861846,0.000000,0.000000,10.185042,14.724013,0.085092,52.042156
0.000000,0.000000,17.836379,0.000000,0.000000,10.656920,10.225499,0.161116,38.592212
0.000000,0.000000,23.909797,0.000000,0.000000,9.731344,11.630027,0.067041,50.589695
0.000000,0.000000,21.660864,0.000000,0.000000,9.269428,9.966234,0.064585,44.477684
0.000000,0.000000,20.096658,0.000000,0.000000,8.983949,8.950067,0.150876,43.318446
0.000000,0.000000,17.204192,0.000000,0.000000,7.598472,9.860742,0.056375,38.104494
0.000000,0.000000,17.723753,0.000000,0.000000,8.174222,9.463805,0.079175,37.456588
0.000000,0.000000,17.106061,0.000000,0.000000,5.319674,7.828850,0.151114,36.229758
0.000000,0.000000,16.386056,0.000000,0.000000,4.915078,8.432910,0.038918,35.855865
0.000000,0.000000,22.879063,0.000000,0.000000,6.415990,7.462512,0.055165,38.232179
0.000000,0.000000,16.916280,0.000000,0.000000,6.358548,7.960714,0.132579,31.871037
0.000000,0.000000,16.159497,0.000000,0.000000,7.216397,9.428192,0.047544,31.837307
0.000000,0.000000,18.178372,0.000000,0.000000,8.333049,10.052556,0.041315,34.275273
0.000000,0.000000,16.173237,0.000000,0.000000,9.832464,9.679490,0.133161,34.512229
0.000000,0.000000,16.258314,0.000000,0.000000,15.479197,20.209145,0.069834,36.283798
0.000000,0.000000,17.784533,0.000000,0.000000,8.057426,9.290558,0.081135,40.003166
0.000000,0.000000,22.821647,0.000000,0.000000,5.114882,9.740484,0.087804,60.667359
0.000000,0.000000,9.341472,0.000000,0.000000,3.360831,5.827404,0.129505,27.955286
0.000000,0.000000,9.689386,0.000000,0.000000,6.830484,11.750468,0.043846,25.861161
0.000000,0.000000,7.823258,0.000000,0.000000,5.672905,11.454417,0.186796,18.217781
0.000000,0.000000,9.502771,0.000000,0.000000,3.621148,5.001141,0.096867,29.456223
0.000000,0.000000,10.009801,0.000000,0.000000,4.235386,5.813509,0.028697,28.757656
0.000000,0.000000,7.308879,0.000000,0.000000,2.889842,4.231862,0.058971,16.969806
0.000000,0.000000,7.410978,0.000000,0.000000,2.450033,6.302293,0.174956,18.486647
0.000000,0.000000,7.231795,0.000000,0.000000,2.741047,5.123645,0.079757,15.430612
0.000000,0.000000,7.346516,0.000000,0.000000,3.208300,4.106071,0.053402,17.259111
0.000000,0.000000,7.553103,0.000000,0.000000,3.469990,4.040251,0.089444,18.440548
0.000000,0.000000,7.479020,0.000000,0.000000,2.984354,4.260275,0.014598,15.829588
0.000000,0.000000,8.046094,0.000000,0.000000,3.671288,4.650286,0.061497,16.559406
0.000000,0.000000,8.073357,0.000000,0.000000,3.762660,5.252511,0.094984,16.281969
0.000000,0.000000,7.780144,0.000000,0.000000,4.231080,5.595621,0.017483,17.162122
0.000000,0.000000,8.087942,0.000000,0.000000,4.420916,6.593699,0.071469,18.192566
0.000000,0.000000,8.101240,0.000000,0.000000,4.108789,6.079567,0.100603,18.971234
0.000000,0.000000,8.266546,0.000000,0.000000,5.797517,8.077705,0.025132,20.456547
0.000000,0.000000,7.315437,0.000000,0.000000,5.522805,6.288508,0.058949,18.627865
0.000000,0.000000,7.496831,0.000000,0.000000,4.716141,6.399756,0.093000,22.444548
0.000000,0.000000,7.472539,0.000000,0.000000,4.428221,6.569146,0.024318,20.413129
0.000000,0.000000,7.938441,0.000000,0.000000,5.259119,5.914969,0.059501,20.135756
0.000000,0.000000,8.248747,0.000000,0.000000,4.129416,6.029108,0.089688,20.309398
0.000000,0.000000,7.613508,0.000000,0.000000,4.278185,5.940324,0.020718,19.895036
0.000000,0.000000,7.896733,0.000000,0.000000,4.578582,5.487338,0.053621,19.171411
0.000000,0.000000,7.375548,0.000000,0.000000,3.498784,5.165158,0.086235,19.129421
0.000000,0.000000,7.408551,0.000000,0.000000,3.259589,5.272803,0.019734,18.617069
0.000000,0.000000,7.233423,0.000000,0.000000,4.581340,5.603837,0.043119,17.022281
0.000000,0.000000,7.282313,0.000000,0.000000,4.084487,7.653076,0.195104,16.845217
0.000000,0.000000,7.396297,0.000000,0.000000,4.255169,5.848362,0.021875,18.668457
0.000000,0.000000,7.211650,0.000000,0.000000,3.817420,9.811805,0.107829,20.305835
0.000000,0.000000,8.734267,0.000000,0.000000,5.518966,7.027187,0.026926,19.936933
0.000000,0.000000,7.075517,0.000000,0.000000,3.779236,8.905277,0.112384,21.963703
0.000000,0.000000,7.096425,0.000000,0.000000,3.783736,9.808944,0.044017,20.747600
0.000000,0.000000,7.279457,0.000000,0.000000,6.037651,7.579789,0.076292,21.160100
0.000000,0.000000,7.463076,0.000000,0.000000,4.908760,6.738976,0.099059,22.300588
0.000000,0.000000,7.411862,0.000000,0.000000,4.001394,6.953212,0.026959,22.285514
0.000000,0.000000,7.784559,0.000000,0.000000,5.061582,6.484476,0.096369,20.967337
0.000000,0.000000,7.406488,0.000000,0.000000,4.522312,6.011648,0.021332,19.510092
0.000000,0.000000,8.142471,0.000000,0.000000,4.495062,5.728086,0.066366,20.823977
0.000000,0.000000,7.457506,0.000000,0.000000,3.356181,4.815567,0.092712,19.089859
0.000000,0.000000,7.274669,0.000000,0.000000,3.112598,9.415708,0.028270,18.674139
0.000000,0.000000,7.503951,0.000000,0.000000,3.296671,6.615586,0.145658,16.749950
0.000000,0.000000,7.716694,0.000000,0.000000,3.543556,3.709619,0.094556,21.460371
0.000000,0.000000,7.439581,0.000000,0.000000,4.445571,4.690519,0.012911,19.056778
0.000000,0.000000,8.148579,0.000000,0.000000,3.749215,4.266641,0.014291,16.466036
0.000000,0.000000,8.331764,0.000000,0.000000,3.076012,4.674318,0.088039,18.471547
0.000000,0.000000,7.788035,0.000000,0.000000,4.436486,4.662526,0.101219,17.037200
0.000000,0.000000,7.769803,0.000000,0.000000,3.153392,5.074883,0.014364,16.586245
0.000000,0.000000,7.982749,0.000000,0.000000,3.746922,5.456364,0.064038,18.133903
0.000000,0.000000,8.017748,0.000000,0.000000,3.764843,5.146825,0.096810,17.215143
0.000000,0.000000,7.451192,0.000000,0.000000,3.612774,5.686879,0.018649,17.736524
0.000000,0.000000,7.359637,0.000000,0.000000,3.794860,8.808853,0.123122,17.416493
0.000000,0.000000,7.414383,0.000000,0.000000,4.795327,8.952183,0.171495,17.738039
0.000000,0.000000,7.425142,0.000000,0.000000,6.959013,6.366016,0.025023,21.326985
0.000000,0.000000,7.322038,0.000000,0.000000,6.062905,7.109945,0.099363,22.303750
0.000000,0.000000,7.389778,0.000000,0.000000,5.936773,5.938948,0.023418,21.845740
0.000000,0.000000,7.274159,0.000000,0.000000,5.631868,7.070031,0.049682,21.615659
0.000000,0.000000,7.223980,0.000000,0.000000,3.886052,7.708495,0.175197,20.159834
0.000000,0.000000,7.203833,0.000000,0.000000,3.762121,8.973840,0.045559,21.071367
0.000000,0.000000,7.028369,0.000000,0.000000,3.658709,5.534955,0.040810,20.015530
0.000000,0.000000,6.919958,0.000000,0.000000,3.511711,6.637664,0.203149,21.004576
0.000000,0.000000,7.057173,0.000000,0.000000,3.397775,5.812331,0.026223,17.361906
0.000000,0.000000,7.023810,0.000000,0.000000,4.687731,6.199541,0.094760,18.695698
0.000000,0.000000,8.672955,0.000000,0.000000,4.651721,5.328229,0.125020,19.559370
0.000000,0.000000,7.717746,0.000000,0.000000,4.383499,6.147124,0.021517,20.029275
0.000000,0.000000,7.694673,0.000000,0.000000,4.567899,6.738622,0.064830,18.801502
0.000000,0.000000,7.622643,0.000000,0.000000,4.449405,6.314656,0.088077,19.259250
0.000000,0.000000,7.602372,0.000000,0.000000,4.937879,7.173378,0.025869,20.133046
0.000000,0.000000,7.002072,0.000000,0.000000,4.635103,6.644928,0.064021,18.937530
0.000000,0.000000,7.980364,0.000000,0.000000,4.427614,7.434269,0.098514,21.365934
0.000000,0.000000,7.676317,0.000000,0.000000,4.725186,7.034575,0.023012,20.461319
0.000000,0.000000,9.286448,0.000000,0.000000,5.032756,7.914852,0.104118,22.441506
0.000000,0.000000,9.222520,0.000000,0.000000,5.067637,9.515251,0.134313,22.206947
0.000000,0.000000,8.332128,0.000000,0.000000,4.639788,5.989587,0.031744,22.617437
0.000000,0.000000,7.144250,0.000000,0.000000,4.101660,5.826339,0.060297,22.885735
0.000000,0.000000,7.357820,0.000000,0.000000,3.137330,4.870240,0.093986,19.223641
0.000000,0.000000,7.469542,0.000000,0.000000,3.101423,5.414463,0.017383,18.645949
0.000000,0.000000,7.541013,0.000000,0.000000,4.894708,5.044594,0.056383,16.753012
0.000000,0.000000,7.633417,0.000000,0.000000,4.039210,4.861341,0.059533,17.251639
0.000000,0.000000,7.619649,0.000000,0.000000,3.819725,4.355502,0.090671,18.739077
0.000000,0.000000,7.765951,0.000000,0.000000,4.024274,4.349783,0.015499,18.893071
0.000000,0.000000,7.860701,0.000000,0.000000,3.338323,4.894794,0.066696,17.191809
0.000000,0.000000,8.639901,0.000000,0.000000,3.538292,5.191073,0.091417,18.051044
